KB/s in,KB/s out,KB/s in,KB/s out
5547.68,135.61,6347.39,213.82
5837.84,142.83,5954.35,200.59
6974.63,170.38,4976.18,167.58
5794.77,141.65,6108.08,205.70
5580.49,136.34,6296.70,212.21
6518.55,161.12,5489.23,184.91
6468.37,160.51,5353.38,180.38
6013.67,147.00,5827.64,196.26
5623.64,137.43,6242.41,210.33
5420.65,132.46,6337.17,213.42
5317.93,130.07,6264.10,211.00
5663.63,138.54,6078.37,204.80
7911.22,193.30,4102.55,138.20
7113.70,173.88,4359.49,146.85
9777.22,239.24,1964.50, 66.03
11659.27,292.01,0.00,0.00
11860.19,289.85,0.00,0.00
11997.45,293.20,0.00,0.00
12006.59,23.52,0.00,0.00
12008.27,293.43,0.00,0.00
12007.74,293.45,0.00,0.00
12002.05,296.08,0.00,0.00
11393.69,278.45,0.00,0.00
11728.89,286.80,0.00,0.00
11607.85,283.68,0.00,0.00
10311.94,252.17,0.00,0.00
11298.04,276.14,0.00,0.00
11365.07,278.33,0.00,0.00
11408.04,278.78,0.32,0.78
11484.39,287.65,0.00,0.25
11427.51,279.42,0.00,0.49
11350.23,279.10,0.00,0.27
10265.60,251.76,1180.83,42.72
6988.87,178.78,5002.84,168.99
6442.00,157.78,5564.10,188.20
6289.60,154.06,5677.72,191.82
6803.32,166.26,5216.17,175.76
5919.37,144.99,6087.52,205.06
5850.89,142.95,6152.07,207.27
5616.20,137.25,6358.87,214.43
5572.30,136.18,6397.66,215.46
769.30,18.74,6015.89,202.98
0.00,0.00,6185.77,209.02
0.00,0.00,6100.61,205.72
0.00,0.00,6383.82,215.23
0.00,0.00,6428.18,215.22
0.00,0.00,6474.77,213.92
0.00,0.00,6323.82,214.58
0.00,0.00,6311.28,212.65
0.00,0.00,6322.48,213.06
0.00,0.00,6365.87,214.44
0.30,0.00,6012.90,207.95
0.27,0.00,6377.40,215.12
0.13,0.00,6444.59,217.13
0.00,0.00,6435.17,216.82
0.13,0.00,6473.32,218.03
0.00,0.00,6473.55,218.12
0.00,0.00,6430.81,218.08
429.56,13.11,6319.70,215.53
5683.11,144.07,6379.97,216.87
5577.16,138.15,6359.97,214.23
5810.70,148.26,6053.67,204.59
5769.73,141.37,6311.40,212.54
5519.19,135.12,6431.51,216.83
5622.15,137.46,6412.02,215.94
5022.81,123.08,6225.72,210.45
5702.96,139.37,6202.08,208.92
5483.81,134.05,6484.98,218.40
952.19,23.50,1831.94,62.05
0.26,0.71,0.13,0.00
0.00,0.00,0.00,0.00
4.04,6.03,0.53,1.30
1.09,0.46,0.00,0.00
0.00,0.19,0.19,0.00
0.26,0.29,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
