KB/s in,KB/s out,KB/s in,KB/s out
5548.74,135.57,6291.62,211.94
5748.66,140.59,6194.77,208.72
5584.54,136.48,6355.33,214.08
5617.61,137.29,6302.82,212.31
5588.59,136.58,6373.24,214.64
5572.95,136.19,6215.30,209.42
4969.20,121.48,6354.37,214.00
5727.34,139.97,6143.82,206.96
6910.39,169.81,4913.83,159.83
1794.37,45.96,4358.57,148.05
0.74,0.05,3893.59,132.05
0.71,0.00,3635.11,122.69
0.00,0.00,3094.09,103.81
0.00,0.00,3655.24,123.33
0.43,0.00,3368.98,114.78
0.06,0.00,3557.34,120.13
0.06,0.00,3395.11,114.38
0.06,0.00,3540.10,119.35
0.95,1.75,2957.22,100.53
6886.69,171.05,2651.31,90.51
8270.27,203.83,3622.6,12
6369,156.52,5551.22,187.04
6104.10,149.82,5870.69,197.76
6242.41,153.76,5689.14,191.69
5907.77,145.30,6041.94,205.52
5867.23,143.95,6116.58,205.99
10782.53,263.91,993.87,32.63
11794.83,288.28,0.00,0.00
11824.76,289.00,0.00,0.00
11420.27,279.10,0.00,0.00
11532.94,281.85,0.00,0.00
11513.73,281.38,0.00,0.00
11908.04,291.02,0.00,0.00
11848.77,289.79,0.00,0.00
11838.33,289.31,0.00,0.00
11801.36,288.37,0.00,0.00
11783.21,288.00,0.00,0.00
11784.06,287.99,0.00,0.00
11825.07,289.13,0.32,0.78
11828.95,291.10,0.00,0.25
11845.65,289.52,0.00,0.73
11863.06,289.87,0.58,0.63
9746.28,238.79,2245.69, 78.67
6174.70,150.89,5706.37,192.63
5796.66,142.13,6061.90,204.56
5939.57,145.19,5973.34,201.46
5567.67,135.99,6322.05,213.19
5588.33,136.64,6353.37,214.08
5878.91,143.60,5926.15,199.71
5581.89,136.60,6411.88,216.09
5363.80,131.12,6466.68,217.83
5577.34,136.26,6292.00,211.99
5628.06,137.58,6339.87,213.51
5597.15,137.71,6232.06,210.06
5643.10,140.93,6240.92,210.23
1569.62,38.50,6329.77,213.50
0.00,0.05,6284.76,211.87
0.00,0.00,6393.86,215.61
0.00,0.00,6427.79,203.96
0.00,0.00,5228.65,176.13
0.00,0.00,5344.19,181.41
0.00,0.00,6347.70,213.83
0.00,0.00,6422.24,216.43
0.00,0.00,6339.34,213.44
0.00,0.00,5962.28,201.02
0.00,0.00,6470.54,218.32
0.00,0.00,6482.21,218.37
0.00,0.00,6231.14,199.15
1016.53,28.69,6333.60,213.36
5550.61,138.62,6354.10,216.07
5570.77,137.11,6318.51,213.03
5503.31,134.65,6464.77,217.76
5491.56,135.14,6435.53,216.72
5467.25,133.65,6403.40,215.81
4554.21,111.62,5702.96,192.24
0.00,0.19,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.06,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
