Script started on 2020-04-24 11:00:52+0530
]0;kalpana@kalpana-HP-Laptop-15-bs0xx: ~[01;32mkalpana@kalpana-HP-Laptop-15-bs0xx[00m:[01;34m~[00m$ exitifstat
       eno1                wlo1       
 KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00   6592.64    116.06
    0.00      0.00   6592.33    117.89
    0.00      0.00   6585.15    117.39
    0.00      0.00   6568.69    117.82
    0.00      0.00   6601.40    114.80
    0.00      0.00   6561.98    116.78
    0.00      0.00   6651.62    116.72
    0.00      0.00   6568.94    115.72
    0.00      0.00   6425.63    111.86
    0.00      0.00   6351.96    111.39
    0.00      0.00   6598.61    108.05
    0.00      0.00   6227.94    106.37
    0.00      0.00   6626.72    115.17
    0.00      0.00   6659.55    111.10
    0.00      0.00   6200.81     99.90
    0.00      0.00   6588.01    115.57
    0.00      0.00   6560.35    114.34
    0.00      0.00   6598.19    114.96
    0.00      0.00   6769.77    115.64
    0.00      0.00   6238.47    109.76
    0.00      0.00   6499.93    116.08
       eno1                wlo1       
 KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00   6463.01    112.01
    0.00      0.00   6332.88    110.12
    0.00      0.00   6308.50    108.93
    0.00      0.00   6654.55    110.95
    0.00      0.00   6551.52    113.65
    0.00      0.00   6534.91    110.85
    0.00      0.00   6331.33    111.77
    0.00      0.00   6167.09    106.09
    0.00      0.00   6578.26    116.23
    0.00      0.00   6536.53    116.08
    0.00      0.00   6455.16    107.46
    0.00      0.00   6458.23    113.52
    0.00      0.00   6465.50    114.34
    0.00      0.00   6521.40    111.74
    0.00      0.00   6486.14    112.96
    0.00      0.00   6468.55    115.07
    0.00      0.00   6378.19    111.20
    0.00      0.00   6546.88    116.73
    0.06      0.00   6736.02    112.42
    0.00      0.00   6303.20    110.83
    0.00      0.00   6167.64    108.16
       eno1                wlo1       
 KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00   6474.37    114.71
    0.00      0.00   6496.76    107.96
    0.00      0.00   6441.86    111.40
    0.00      0.00   6550.54    115.41
    0.00      0.00   6431.37    113.49
    0.00      0.00   6449.53    110.11
    0.00      0.00   6452.37    113.45
    0.00      0.00   6392.80    112.76
    0.00      0.00   6519.78    114.58
    0.00      0.00   6456.45    113.14
    0.00      0.00   6507.99    113.08
    0.06      0.00   6440.42    113.36
    0.06      0.00   6484.82    110.30
    0.06      0.00   6541.85    116.02
    0.06      0.00   6710.52    112.32
    0.06      0.00   6732.83    114.87
    0.06      0.00   6439.74    104.35
    0.00      0.00   6372.51    109.27
    0.06      0.00   6284.21    110.43
    0.06      0.00   6384.32    110.66
    0.06      0.00   6059.42    105.81
       eno1                wlo1       
 KB/s in  KB/s out   KB/s in  KB/s out
    0.06      0.00   6519.91    116.26
    0.06      0.00   6541.95    117.17
    0.06      0.00   6516.68    116.15
    0.06      0.00   6695.10    114.33
    0.06      0.00   6782.09    114.66
    0.06      0.00   6427.27    113.51
    0.06      0.00   6187.06    111.73
    0.06      0.00   6394.26    117.88
    0.06      0.00   6444.77    123.80
    0.06      0.00   6323.43    108.80
    0.06      0.00   6390.17    114.05
    0.06      0.00   6418.42    113.70
    0.06      0.00   6430.20    111.50
    0.06      0.00   6406.61    113.42
    0.06      0.00   6559.39    115.51
    0.00      0.00   1915.29     32.91
    0.06      0.00      0.23      0.28
    0.06      0.00      0.15      0.00
    0.06      0.00      0.04      0.00
    0.00      0.00      0.00      0.00
    0.00      0.00      0.12      0.00
       eno1                wlo1       
 KB/s in  KB/s out   KB/s in  KB/s out
    0.06      0.00      0.04      0.00
    0.06      0.00      1.14      3.53
    0.06      0.00      0.47      0.80
    0.06      0.00      2.05      4.73
    0.06      0.00      2.96      1.61
    0.06      0.00      4.78      1.83
    0.00      0.00      0.00      0.00
    0.06      0.00      0.04      0.00
    0.06      0.00      0.04      0.00
    0.06      0.00      0.23      0.31
    0.06      0.00      0.04      0.00
    0.06      0.00      0.04      0.00
    0.06      0.00      0.04      0.00
    0.00      0.00      0.00      0.00
    0.06      0.00      0.17      0.18
    0.06      0.00      0.17      0.18
    0.06      0.00      1.14      3.45
    0.06      0.00      0.72      1.13
    0.06      0.00      0.04      0.00
    0.06      0.00      0.24      0.12
    0.00      0.00      0.00      0.00
       eno1                wlo1       
 KB/s in  KB/s out   KB/s in  KB/s out
    0.06      0.00      0.04      0.00
    0.06      0.00      0.08      0.07
    0.06      0.00      0.04      0.00
    0.06      0.00      0.11      0.18
    0.06      0.00      0.17      0.09
    0.06      0.00      0.11      0.09
    0.00      0.00      0.06      0.32
    0.06      0.00      0.04      0.00
    0.06      0.00      0.04      0.00
    0.06      0.00      0.04      0.11
    0.06      0.00      0.04      0.00
    0.06      0.00      0.04      0.00
    0.06      0.00      5.02      2.70
    0.06      0.00      0.04      0.00
    0.06      0.00      0.17      0.18
    0.06      0.00      0.11      0.09
    0.00      0.00      0.00      0.00
    0.06      0.00      0.04      0.00
    0.06      0.00      0.16      0.00
    0.06      0.00      0.04      0.00
^C
]0;kalpana@kalpana-HP-Laptop-15-bs0xx: ~[01;32mkalpana@kalpana-HP-Laptop-15-bs0xx[00m:[01;34m~[00m$ exit
exit

Script done on 2020-04-24 11:03:02+0530
